date,revenue,avg_ticket
3/31/2018,2514.90,7.1
6/30/2018,2604.55,7.35
9/30/2018,2536.82,6.4
12/31/2018,2771.78,7.4
3/31/2019,2827.76,7.3
6/30/2019,2936.45,6.58
9/30/2019,3099.55,6.34
12/31/2019,3083.89,8.62
3/31/2020,3055.48,8.73
6/30/2020,3494.54,8.15
9/30/2020,3373.05,7.8
12/31/2020,3081.68,7.1
3/31/2021,3111.61,7.78
6/30/2021,3255.65,7.96
9/30/2021,3569.99,8.21
12/31/2021,3113.57,8.1
3/31/2022,3108.75,8.98
6/30/2022,3157.25,8.2
9/30/2022,3329.28,8.7
12/31/2022,3122.85,7.54
3/31/2023,3017.88,9.32
6/30/2023,3475.84,8.15
9/30/2023,3193.33,8.82
12/31/2023,3257.26,9.04
